ID,Mi rol principal en la universidad es:,Distancia Recorrida (ida),Tiempo de traslado (ida),Modo de transporte principal,En tu viaje al ITESO: ¿Empleas el automóvil como la persona conductora o pasajera?,¿Qué días de la semana te trasladas al ITESO?_1,¿Qué días de la semana te trasladas al ITESO?_2,¿Qué días de la semana te trasladas al ITESO?_3,¿Qué días de la semana te trasladas al ITESO?_4,¿Qué días de la semana te trasladas al ITESO?_5,¿Qué días de la semana te trasladas al ITESO?_6,¿Qué días de la semana te trasladas al ITESO?_7,dias_campus_total,Días de desplazamiento al trabajo,"En un día típico, ¿a qué hora llegas y sales del ITESO?",Hora_1,Hora_2,Segundo Horario,Hora_1,Hora_2,Doy regularmente aventón_1,Pido regularmente aventón_1,Compartido con pasajeros_1
27698,Estudiante de licenciatura,17.39,,Automóvil compacto,Conductora,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es fijo,14:00:00,,Nunca,Nunca,
27699,Estudiante de licenciatura,11.08,,Automóvil híbrido,Conductora,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,11:00:00,14:00:00,Nunca,Nunca,
27700,Personal administrativo,19.47,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,07:00:00,10:00:00,Mi horario de salida es flexible,15:00:00,20:00:00,,,
27701,Estudiante de licenciatura,9.8,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,15:00:00,,Nunca,Nunca,1
27702,Estudiante de licenciatura,2.09,,Llego caminando hasta el ITESO,Pasajera,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,10:50:00,11:00:00,Mi horario de salida es flexible,02:00:00,06:00:00,,,1
27703,Estudiante de licenciatura,17.27,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,,Jueves,Viernes,,,3,3,Mi horario de llegada es fijo,06:30:00,,Mi horario de salida es fijo,09:00:00,,Nunca,Nunca,
27704,Estudiante de licenciatura,20.22,,,Pasajera,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es fijo,06:00:00,,,,1
27705,Estudiante de licenciatura,1.97,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,15:00:00,22:00:00,,,
27706,Estudiante de licenciatura,38.47,70,Automóvil compacto,Conductora,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,14:00:00,20:00:00,1 vez por semana,,1
27707,Estudiante de licenciatura,12.53,,Automóvil compacto,Pasajera,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,22:00:00,,,3 veces por semana,2
27708,Profesor (a) de tiempo fijo,13.9,,Bicicleta propia,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:01:00,,Mi horario de salida es fijo,05:00:00,,,,
27709,Estudiante de licenciatura,2.31,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,06:50:00,09:00:00,Mi horario de salida es fijo,08:00:00,,,,
27710,Profesor (a) de tiempo fijo,9.64,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:30:00,10:00:00,Mi horario de salida es fijo,19:00:00,,Nunca,Nunca,
27711,Estudiante de posgrado,4.81,,Bicicleta propia,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,18:00:00,Mi horario de salida es flexible,14:00:00,22:00:00,,,
27712,Estudiante de licenciatura,10.14,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,11:00:00,01:00:00,,,
27713,Estudiante de licenciatura,14.34,,Automóvil compacto,Conductora,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,13:00:00,,Mi horario de salida es flexible,18:00:00,20:00:00,Nunca,,
27714,Estudiante de posgrado,9.63,,Mi Macro (Calzada o Periférico),Pasajera,,,,,Viernes,Sábado,,2,2,Mi horario de llegada es flexible,10:00:00,16:00:00,Mi horario de salida es flexible,13:00:00,21:00:00,,2 veces por semana,
27715,Estudiante de licenciatura,16.85,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,04:00:00,08:00:00,2 veces por semana,Nunca,2
27716,Personal administrativo,7.9,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,18:00:00,19:00:00,Nunca,Nunca,
27717,Estudiante de licenciatura,20.21,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,13:00:00,06:00:00,Mi horario de salida es fijo,08:10:00,,Nunca,Nunca,
27718,Estudiante de licenciatura,5.46,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,11:00:00,01:00:00,,,
27719,Personal servicios de apoyo o seguridad,27.03,,Motocicleta,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,06:00:00,06:00:00,Mi horario de salida es fijo,14:00:00,,,,
27720,Profesor (a) de tiempo fijo,18.26,120,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,11:00:00,Mi horario de salida es flexible,14:00:00,20:00:00,Nunca,Nunca,
27721,Profesor (a) de tiempo fijo,16.9,,Automóvil eléctrico,Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,13:30:00,14:00:00,1 vez por semana,Nunca,
27722,Estudiante de licenciatura,11.63,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es flexible,18:00:00,19:00:00,1 vez por semana,1 vez por semana,1
27723,Estudiante de licenciatura,13.69,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,11:00:00,13:00:00,Nunca,Nunca,
27724,Profesor (a) de tiempo fijo,20.07,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,7,7,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,17:00:00,18:00:00,4 o más veces por semana,,3
27725,Profesor (a) de asignatura,26.46,,Automóvil híbrido,Pasajera,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es fijo,17:00:00,,Mi horario de salida es fijo,22:00:00,,,,
27726,Estudiante de posgrado,4.54,,Bicicleta propia,,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,13:00:00,,,,
27727,Personal administrativo,7.58,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,17:00:00,19:00:00,Nunca,Nunca,
27728,Estudiante de posgrado,11.5,,Bicicleta pública (MiBici),,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,01:00:00,03:00:00,,,
27729,Profesor (a) de tiempo fijo,7.3,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,17:00:00,18:00:00,1 vez por semana,Nunca,
27730,Personal administrativo,18.02,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,15:00:00,,Nunca,Nunca,
27731,Profesor (a) de asignatura,11.55,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,,,,3,3,Mi horario de llegada es flexible,08:00:00,15:00:00,Mi horario de salida es flexible,12:00:00,18:00:00,1 vez por semana,Nunca,
27732,Profesor (a) de tiempo fijo,28.96,25,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:15:00,,Mi horario de salida es flexible,17:30:00,20:00:00,Nunca,Nunca,
27733,Estudiante de licenciatura,6.54,,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,18:00:00,Mi horario de salida es flexible,09:00:00,20:00:00,,4 o más veces por semana,1
27734,Personal administrativo,20.29,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:20:00,,Mi horario de salida es fijo,05:00:00,,2 veces por semana,2 veces por semana,4
27735,Estudiante de licenciatura,22.61,,Transporte colectivo (Camión/rutas de MiTransporte),Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,09:00:00,12:00:00,Mi horario de salida es flexible,16:00:00,22:00:00,Nunca,Nunca,
27736,Estudiante de licenciatura,21.97,,Mi Macro (Calzada o Periférico),Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,07:00:00,16:00:00,Mi horario de salida es flexible,09:00:00,20:00:00,1 vez por semana,2 veces por semana,
27737,Estudiante de licenciatura,9.8,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,12:00:00,20:00:00,,Nunca,2
27738,Estudiante de licenciatura,17.52,,Automóvil híbrido,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:45:00,,Mi horario de salida es fijo,13:00:00,,Nunca,Nunca,1
27739,Profesor (a) de asignatura,9.01,,Taxi (internet o aplicación como Uber),,,Martes,Miércoles,Jueves,,,,3,3,Mi horario de llegada es flexible,11:00:00,18:00:00,Mi horario de salida es flexible,13:00:00,20:00:00,,,
27740,Estudiante de posgrado,18.15,,Tren Ligero (Mi Tren),,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es fijo,18:00:00,,Mi horario de salida es fijo,22:00:00,,,,
27741,Estudiante de licenciatura,4.84,,Transporte colectivo (Camión/rutas de MiTransporte),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,11:00:00,13:00:00,Mi horario de salida es flexible,18:00:00,20:00:00,,Nunca,
27742,Profesor (a) de tiempo fijo,6.13,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,14:00:00,18:00:00,1 vez por semana,Nunca,1
27743,Profesor (a) de tiempo fijo,15.95,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,11:00:00,Mi horario de salida es flexible,16:00:00,20:00:00,Nunca,Nunca,
27744,Estudiante de licenciatura,10.63,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,01:00:00,03:00:00,,Nunca,3
27745,Profesor (a) de asignatura,13.37,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,13:00:00,15:00:00,Nunca,Nunca,
27746,Estudiante de licenciatura,15.21,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,22:00:00,,Nunca,1 vez por semana,
27747,Estudiante de licenciatura,9.54,,Automóvil SUV (tipo camioneta),Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,11:00:00,20:00:00,4 o más veces por semana,,1
27748,Personal administrativo,9.58,,Transporte colectivo (Camión/rutas de MiTransporte),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,18:00:00,,,,
27749,Personal administrativo,18.32,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:00:00,,Mi horario de salida es flexible,16:00:00,22:00:00,Nunca,Nunca,1
27750,Profesor (a) de tiempo fijo,9.61,5,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,08:15:00,Mi horario de salida es flexible,15:00:00,17:00:00,Nunca,Nunca,
27751,Profesor (a) de asignatura,12.44,10,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,08:00:00,Mi horario de salida es flexible,13:00:00,15:00:00,Nunca,Nunca,2
27752,Estudiante de licenciatura,5.32,,Transporte universitario,,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,13:00:00,20:00:00,,,
27753,Personal administrativo,7.51,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,13:00:00,,2 veces por semana,,1
27754,Personal administrativo,18.79,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,17:30:00,21:00:00,1 vez por semana,Nunca,
27755,Profesor (a) de asignatura,5.12,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,11:00:00,16:00:00,Nunca,,
27756,Estudiante de licenciatura,29.22,,Mi Macro (Calzada o Periférico),,,Martes,,Jueves,,,,2,2,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es flexible,18:00:00,20:00:00,,,
27757,Profesor (a) de tiempo fijo,22.9,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es fijo,01:30:00,,Mi horario de salida es fijo,08:00:00,,,,
27758,Estudiante de licenciatura,6.01,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,14:00:00,18:00:00,Nunca,Nunca,
27759,Profesor (a) de asignatura,23.94,,Automóvil compacto,Conductora,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,18:00:00,,Nunca,Nunca,
27760,Profesor (a) de tiempo fijo,26.65,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,10:00:00,Mi horario de salida es flexible,14:30:00,19:00:00,1 vez por semana,Nunca,
27761,Estudiante de licenciatura,21.14,,Tren Ligero (Mi Tren),Pasajera,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,08:00:00,11:00:00,Mi horario de salida es flexible,16:00:00,22:00:00,,,3
27762,Personal administrativo,11.14,2,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,15:00:00,,Nunca,Nunca,
27763,Estudiante de licenciatura,3.07,,Caminando,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,11:00:00,Mi horario de salida es flexible,12:00:00,15:00:00,,,
27764,Estudiante de licenciatura,23.74,,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,08:00:00,,3 veces por semana,1 vez por semana,1
27765,Profesor (a) de tiempo fijo,12.43,,Automóvil SUV (tipo camioneta),Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,12:00:00,Mi horario de salida es flexible,19:00:00,22:00:00,,,1
27766,Profesor (a) de asignatura,15.09,,,Conductora,Lunes,,,Jueves,Viernes,,,3,3,Mi horario de llegada es fijo,12:13:00,,Mi horario de salida es fijo,15:16:00,,Nunca,Nunca,
27767,Estudiante de licenciatura,17.98,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,14:00:00,18:00:00,,,
27768,Personal administrativo,10.52,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,18:00:00,19:30:00,Nunca,Nunca,
27769,Estudiante de posgrado,12.72,,Automóvil compacto,Conductora,,Martes,Miércoles,,,,,2,2,Mi horario de llegada es fijo,19:00:00,,Mi horario de salida es flexible,22:10:00,22:30:00,Nunca,Nunca,
27770,Estudiante de licenciatura,22.68,,Tren Ligero (Mi Tren),,,Martes,,Jueves,,,,2,2,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,08:00:00,,,,
27771,Estudiante de licenciatura,11.23,,Automóvil compacto,Conductora,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,09:00:00,15:00:00,Mi horario de salida es flexible,15:00:00,22:00:00,2 veces por semana,Nunca,
27772,Personal administrativo,7.6,,Transporte universitario,,Lunes,,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,08:30:00,,Mi horario de salida es flexible,17:30:00,19:30:00,,,
27773,Profesor (a) de tiempo fijo,5.6,,Automóvil híbrido,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,10:30:00,,Mi horario de salida es fijo,18:00:00,,1 vez por semana,Nunca,
27774,Profesor (a) de asignatura,10.65,,Automóvil compacto,Conductora,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,15:30:00,,Mi horario de salida es fijo,21:00:00,,Nunca,Nunca,1
27775,Personal servicios de apoyo o seguridad,17.4,60,camino 2 km,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,13:00:00,,Mi horario de salida es fijo,21:00:00,,,,
27776,Personal administrativo,5.31,,Mi Macro (Calzada o Periférico),,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,17:00:00,20:00:00,,,
27777,Estudiante de licenciatura,7.91,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,12:30:00,14:30:00,,Nunca,2
27778,Personal administrativo,11.92,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,18:00:00,,Nunca,Nunca,
27779,Profesor (a) de tiempo fijo,13.27,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,15:00:00,18:00:00,1 vez por semana,Nunca,
27780,Profesor (a) de asignatura,10.81,,Automóvil compacto,Pasajera,Lunes,,Miércoles,,,,,2,2,Mi horario de llegada es flexible,08:00:00,10:00:00,Mi horario de salida es flexible,14:00:00,21:00:00,,,1
27781,Personal servicios de apoyo o seguridad,7.56,,Bicicleta propia,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,09:20:00,Mi horario de salida es flexible,19:00:00,20:30:00,Nunca,Nunca,
27782,Personal administrativo,4.06,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,07:00:00,10:00:00,Nunca,Nunca,1
27783,Personal administrativo,13.04,,Automóvil híbrido,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,06:30:00,07:30:00,,,1
27784,Estudiante de licenciatura,21.4,20,Transporte de un exalumno de ITESO,Pasajera,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es flexible,20:00:00,22:00:00,,,
27785,Estudiante de licenciatura,8.43,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,07:00:00,10:00:00,Mi horario de salida es flexible,13:00:00,18:00:00,Nunca,Nunca,
27786,Estudiante de licenciatura,9.49,,Tren Ligero (Mi Tren),Pasajera,Lunes,,Miércoles,Jueves,,Sábado,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,20:00:00,,,,
27787,Personal administrativo,15.09,15,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,18:00:00,,4 o más veces por semana,Nunca,2
27788,Profesor (a) de tiempo fijo,22.94,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,16:00:00,18:00:00,Nunca,Nunca,
27789,Estudiante de licenciatura,13.73,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,,Sábado,,5,5,Mi horario de llegada es flexible,04:00:00,06:00:00,Mi horario de salida es flexible,08:00:00,10:00:00,,,
27790,Profesor (a) de tiempo fijo,22.84,,Motocicleta,Conductora,Lunes,Martes,Miércoles,Jueves,,,,4,4,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,13:00:00,18:00:00,Nunca,Nunca,
27791,Profesor (a) de asignatura,8.25,,Automóvil compacto,Pasajera,Lunes,Martes,,,,,,2,2,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es fijo,20:00:00,,,,
27792,Estudiante de licenciatura,17.53,,Automóvil híbrido,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,06:30:00,,Mi horario de salida es flexible,11:00:00,13:30:00,,Nunca,1
27793,Profesor (a) de asignatura,12.68,,Tren Ligero (Mi Tren),,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es fijo,07:00:00,,Mi horario de salida es flexible,09:30:00,11:00:00,,,
27794,Profesor (a) de asignatura,3.69,,Llego caminando hasta el ITESO,,Lunes,,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,11:00:00,,Mi horario de salida es fijo,18:00:00,,,,
27795,Personal administrativo,17.8,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,09:00:00,,Mi horario de salida es fijo,19:00:00,,Nunca,Nunca,
27796,Estudiante de licenciatura,2.67,15,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,13:00:00,Mi horario de salida es flexible,06:45:00,12:45:00,,,
27797,Personal administrativo,22.14,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,13:00:00,,Mi horario de salida es fijo,19:00:00,,,,
27798,Profesor (a) de asignatura,10.11,,Transporte universitario,,,,Miércoles,,Viernes,Sábado,,3,3,Mi horario de llegada es flexible,08:15:00,15:30:00,Mi horario de salida es flexible,13:00:00,18:15:00,,,
27799,Profesor (a) de asignatura,27.69,505,Automóvil compacto,Conductora,Lunes,Martes,,Jueves,,Sábado,,4,4,Mi horario de llegada es flexible,08:30:00,10:00:00,Mi horario de salida es flexible,11:00:00,18:00:00,3 veces por semana,Nunca,2
27800,Personal administrativo,4.25,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es flexible,07:10:00,18:30:00,Mi horario de salida es flexible,08:00:00,22:00:00,Nunca,Nunca,
27801,Estudiante de licenciatura,15.23,,Automóvil compacto,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,16:00:00,18:00:00,1 vez por semana,,1
27802,Profesor (a) de asignatura,22.38,,Automóvil SUV (tipo camioneta),Conductora,,Martes,Miércoles,Jueves,,,,3,3,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,08:00:00,,2 veces por semana,,
27803,Estudiante de licenciatura,13.82,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es flexible,11:00:00,13:00:00,1 vez por semana,Nunca,
27804,Profesor (a) de asignatura,14.33,,,Pasajera,,,Miércoles,,,,,1,1,Mi horario de llegada es flexible,02:04:00,05:07:00,Mi horario de salida es fijo,07:00:00,,,,1
27805,Estudiante de licenciatura,4.8,,Transporte universitario,,,Martes,Miércoles,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,13:00:00,20:00:00,,,
27806,Personal administrativo,19,,Tren Ligero (Mi Tren),,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,06:00:00,,,,
27807,Estudiante de posgrado,17.41,,Automóvil compacto,Conductora,,,,,Viernes,Sábado,,2,2,Mi horario de llegada es fijo,19:00:00,,Mi horario de salida es fijo,10:00:00,,1 vez por semana,,
27808,Estudiante de posgrado,13.93,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,Miércoles,,Viernes,,,4,4,Mi horario de llegada es flexible,09:00:00,11:00:00,Mi horario de salida es flexible,21:00:00,22:30:00,1 vez por semana,,
27809,Profesor (a) de asignatura,17,,Automóvil SUV (tipo camioneta),Conductora,Lunes,,,Jueves,,,,2,2,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,13:00:00,,Nunca,Nunca,
27810,Profesor (a) de asignatura,3.7,,Llego caminando hasta el ITESO,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,09:00:00,13:00:00,Mi horario de salida es flexible,11:00:00,16:00:00,,,
27811,Profesor (a) de tiempo fijo,13.64,460,Automóvil híbrido,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,,6,6,Mi horario de llegada es flexible,08:00:00,10:00:00,Mi horario de salida es flexible,18:00:00,22:00:00,Nunca,Nunca,1
