ID,Mi rol principal en la universidad es:,Distancia Recorrida (ida),Tiempo de traslado (ida),Modo de transporte principal,En tu viaje al ITESO: ¿Empleas el automóvil como la persona conductora o pasajera?,¿Qué días de la semana te trasladas al ITESO?_1,¿Qué días de la semana te trasladas al ITESO?_2,¿Qué días de la semana te trasladas al ITESO?_3,¿Qué días de la semana te trasladas al ITESO?_4,¿Qué días de la semana te trasladas al ITESO?_5,¿Qué días de la semana te trasladas al ITESO?_6,¿Qué días de la semana te trasladas al ITESO?_7,dias_campus_total,Días de desplazamiento al trabajo,"En un día típico, ¿a qué hora llegas y sales del ITESO?",Hora_1,Hora_2,Segundo Horario,Hora_1,Hora_2,Doy regularmente aventón_1,Pido regularmente aventón_1,Compartido con pasajeros_1
27575,Estudiante de licenciatura,21.95,,Mi Macro (Calzada o Periférico),Pasajera,Lunes,Martes,Miércoles,,,,,3,3,Mi horario de llegada es flexible,07:00:00,09:00:00,Mi horario de salida es fijo,01:00:00,,,,
27576,Personal administrativo,4.89,,Mi Macro (Calzada o Periférico),,,,Miércoles,Jueves,Viernes,,,3,3,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,05:00:00,06:00:00,,,
27577,Estudiante de posgrado,7.18,,Transporte universitario,Pasajera,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:00:00,19:00:00,Mi horario de salida es flexible,09:30:00,22:00:00,,Nunca,1
27578,Profesor (a) de tiempo fijo,17.06,1,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,07:30:00,08:30:00,Mi horario de salida es flexible,16:30:00,18:00:00,Nunca,Nunca,1
27579,Personal servicios de apoyo o seguridad,2.61,,Llego caminando hasta el ITESO,,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es flexible,16:00:00,19:00:00,,,
27580,Profesor (a) de tiempo fijo,27.01,10,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,19:00:00,20:00:00,Nunca,Nunca,3
27581,Profesor (a) de tiempo fijo,18.87,,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es flexible,08:50:00,09:50:00,Mi horario de salida es flexible,15:00:00,18:30:00,4 o más veces por semana,,1
27582,Personal administrativo,17.9,10,Automóvil compacto,Conductora,Lunes,Martes,Miércoles,Jueves,Viernes,,,5,5,Mi horario de llegada es fijo,08:00:00,,Mi horario de salida es fijo,07:00:00,,Nunca,Nunca,2
27583,Personal administrativo,9.83,,Automóvil compacto,Conductora,,Martes,,,Viernes,,,2,2,Mi horario de llegada es flexible,08:00:00,09:00:00,Mi horario de salida es flexible,16:00:00,17:00:00,Nunca,Nunca,
27584,Profesor (a) de asignatura,18.26,,Automóvil SUV (tipo camioneta),Conductora,Lunes,Martes,,Jueves,Viernes,,,4,4,Mi horario de llegada es flexible,12:00:00,15:00:00,Mi horario de salida es flexible,18:00:00,20:00:00,Nunca,Nunca,
